/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 001 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 1.000
New best model saved. Avg(last 1)=8.000
Episode 002 | Reward: -136.000 | Steps: 40 | Success: False | Epsilon: 0.999
Episode 003 | Reward:  -93.000 | Steps: 40 | Success: False | Epsilon: 0.998
Episode 004 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.996
Episode 005 | Reward:   40.000 | Steps: 40 | Success: False | Epsilon: 0.995
Episode 006 | Reward:   12.000 | Steps: 13 | Success: True | Epsilon: 0.994
Episode 007 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.993
Episode 008 | Reward:    5.000 | Steps: 22 | Success: True | Epsilon: 0.992
Episode 009 | Reward:  -10.000 | Steps: 38 | Success: True | Epsilon: 0.990
Episode 010 | Reward:  -56.000 | Steps: 40 | Success: False | Epsilon: 0.989
Episode 011 | Reward:   30.000 | Steps: 25 | Success: True | Epsilon: 0.988
Episode 012 | Reward:   22.000 | Steps: 17 | Success: True | Epsilon: 0.987
Episode 013 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.986
Episode 014 | Reward:   14.000 | Steps: 11 | Success: True | Epsilon: 0.985
Episode 015 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.983
Episode 016 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.982
Episode 017 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.981
Episode 018 | Reward:   20.000 | Steps: 16 | Success: True | Epsilon: 0.980
Episode 019 | Reward:   11.000 | Steps: 22 | Success: True | Epsilon: 0.979
Episode 020 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.977
Episode 021 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.976
Episode 022 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.975
Episode 023 | Reward:  -44.000 | Steps: 40 | Success: False | Epsilon: 0.974
Episode 024 | Reward:  -44.000 | Steps: 40 | Success: False | Epsilon: 0.973
Episode 025 | Reward: -114.000 | Steps: 29 | Success: False | Epsilon: 0.971
Episode 026 | Reward:   42.000 | Steps: 34 | Success: True | Epsilon: 0.970
Episode 027 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.969
Episode 028 | Reward: -164.000 | Steps: 40 | Success: False | Epsilon: 0.968
Episode 029 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.967
Episode 030 | Reward:   18.000 | Steps: 25 | Success: True | Epsilon: 0.966
Episode 031 | Reward:   40.000 | Steps: 40 | Success: False | Epsilon: 0.964
Episode 032 | Reward:   36.000 | Steps: 25 | Success: True | Epsilon: 0.963
Episode 033 | Reward:   28.000 | Steps: 21 | Success: True | Epsilon: 0.962
Episode 034 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.961
Episode 035 | Reward: -174.000 | Steps: 40 | Success: False | Epsilon: 0.960
Episode 036 | Reward: -112.000 | Steps: 30 | Success: False | Epsilon: 0.958
Episode 037 | Reward:  -50.000 | Steps: 40 | Success: False | Epsilon: 0.957
Episode 038 | Reward:   18.000 | Steps: 25 | Success: True | Epsilon: 0.956
Episode 039 | Reward:   14.000 | Steps: 26 | Success: True | Epsilon: 0.955
Episode 040 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.954
Episode 041 | Reward: -142.000 | Steps: 40 | Success: False | Epsilon: 0.952
Episode 042 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.951
Episode 043 | Reward:   56.000 | Steps: 26 | Success: True | Epsilon: 0.950
Episode 044 | Reward:   16.000 | Steps: 12 | Success: True | Epsilon: 0.949
Episode 045 | Reward:   18.000 | Steps: 17 | Success: True | Epsilon: 0.948
Episode 046 | Reward:   38.000 | Steps: 26 | Success: True | Epsilon: 0.946
Episode 047 | Reward:   48.000 | Steps: 22 | Success: True | Epsilon: 0.945
Episode 048 | Reward: -168.000 | Steps: 40 | Success: False | Epsilon: 0.944
Episode 049 | Reward:   40.000 | Steps: 40 | Success: False | Epsilon: 0.943
Episode 050 | Reward:    0.000 | Steps: 40 | Success: False | Epsilon: 0.942
Episode 051 | Reward:   36.000 | Steps: 28 | Success: True | Epsilon: 0.941
Episode 052 | Reward:   46.000 | Steps: 33 | Success: True | Epsilon: 0.939
Episode 053 | Reward:   40.000 | Steps: 27 | Success: True | Epsilon: 0.938
Episode 054 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.937
Episode 055 | Reward:   26.000 | Steps: 31 | Success: True | Epsilon: 0.936
Episode 056 | Reward:   -2.000 | Steps: 39 | Success: True | Epsilon: 0.935
Episode 057 | Reward:   34.000 | Steps: 24 | Success: True | Epsilon: 0.933
Episode 058 | Reward:   18.000 | Steps: 22 | Success: True | Epsilon: 0.932
Episode 059 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.931
Episode 060 | Reward:   21.000 | Steps: 21 | Success: True | Epsilon: 0.930
New best model saved. Avg(last 20)=8.350
Episode 061 | Reward:   38.000 | Steps: 26 | Success: True | Epsilon: 0.929
New best model saved. Avg(last 20)=17.350
Episode 062 | Reward:   13.000 | Steps: 26 | Success: True | Epsilon: 0.927
New best model saved. Avg(last 20)=17.600
Episode 063 | Reward: -138.000 | Steps: 40 | Success: False | Epsilon: 0.926
Episode 064 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.925
Episode 065 | Reward:    6.000 | Steps: 21 | Success: True | Epsilon: 0.924
Episode 066 | Reward:    2.000 | Steps: 21 | Success: True | Epsilon: 0.923
Episode 067 | Reward:   15.000 | Steps: 27 | Success: True | Epsilon: 0.922
Episode 068 | Reward: -168.000 | Steps: 40 | Success: False | Epsilon: 0.920
Episode 069 | Reward:   54.000 | Steps: 25 | Success: True | Epsilon: 0.919
Episode 070 | Reward:   16.000 | Steps: 27 | Success: True | Epsilon: 0.918
Episode 071 | Reward: -146.000 | Steps: 40 | Success: False | Epsilon: 0.917
Episode 072 | Reward: -144.000 | Steps: 40 | Success: False | Epsilon: 0.916
Episode 073 | Reward:   18.000 | Steps: 28 | Success: True | Epsilon: 0.914
Episode 074 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.913
Episode 075 | Reward: -104.000 | Steps: 40 | Success: False | Epsilon: 0.912
Episode 076 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.911
Episode 077 | Reward:  -32.000 | Steps: 40 | Success: False | Epsilon: 0.910
Episode 078 | Reward:   34.000 | Steps: 24 | Success: True | Epsilon: 0.908
Episode 079 | Reward:   36.000 | Steps: 16 | Success: True | Epsilon: 0.907
Episode 080 | Reward:   14.000 | Steps: 38 | Success: True | Epsilon: 0.906
Episode 081 | Reward:   46.000 | Steps: 21 | Success: True | Epsilon: 0.905
Episode 082 | Reward:   -3.000 | Steps: 40 | Success: False | Epsilon: 0.904
Episode 083 | Reward:    7.000 | Steps: 29 | Success: True | Epsilon: 0.903
Episode 084 | Reward:   32.000 | Steps: 23 | Success: True | Epsilon: 0.901
Episode 085 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.900
Episode 086 | Reward:   -2.000 | Steps: 22 | Success: True | Epsilon: 0.899
Episode 087 | Reward:   66.000 | Steps: 31 | Success: True | Epsilon: 0.898
Episode 088 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.897
Episode 089 | Reward:   38.000 | Steps: 26 | Success: True | Epsilon: 0.895
