/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 073 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.912
Episode 074 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.910
Episode 075 | Reward:   28.000 | Steps: 16 | Success: True | Epsilon: 0.909
Episode 076 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.908
Episode 077 | Reward:  -42.000 | Steps: 38 | Success: True | Epsilon: 0.907
Episode 078 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.906
Episode 079 | Reward:   24.000 | Steps: 22 | Success: True | Epsilon: 0.904
Episode 080 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.903
Episode 081 | Reward:  -24.000 | Steps: 35 | Success: True | Epsilon: 0.902
Episode 082 | Reward:   42.000 | Steps: 28 | Success: True | Epsilon: 0.901
Episode 083 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.899
Episode 084 | Reward:   22.000 | Steps: 18 | Success: True | Epsilon: 0.898
Episode 085 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.897
Episode 086 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.896
Episode 087 | Reward:   30.000 | Steps: 28 | Success: True | Epsilon: 0.895
Episode 088 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.893
Episode 089 | Reward: -174.000 | Steps: 40 | Success: False | Epsilon: 0.892
Episode 090 | Reward:  -41.000 | Steps:  7 | Success: False | Epsilon: 0.891
Episode 091 | Reward:   30.000 | Steps: 22 | Success: True | Epsilon: 0.890
Episode 092 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.888
Episode 093 | Reward:   30.000 | Steps: 25 | Success: True | Epsilon: 0.887
Episode 094 | Reward: -156.000 | Steps: 40 | Success: False | Epsilon: 0.886
Episode 095 | Reward:  -75.000 | Steps: 40 | Success: False | Epsilon: 0.885
Episode 096 | Reward:   14.000 | Steps: 15 | Success: True | Epsilon: 0.883
Episode 097 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.882
Episode 098 | Reward:   35.000 | Steps: 28 | Success: True | Epsilon: 0.881
Episode 099 | Reward:   26.000 | Steps: 11 | Success: True | Epsilon: 0.880
Episode 100 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.879
Episode 101 | Reward:   26.000 | Steps: 20 | Success: True | Epsilon: 0.877
Episode 102 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.876
Episode 103 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.875
Episode 104 | Reward:   30.000 | Steps: 22 | Success: True | Epsilon: 0.874
Episode 105 | Reward:   30.000 | Steps: 13 | Success: True | Epsilon: 0.872
Episode 106 | Reward:   24.000 | Steps: 28 | Success: True | Epsilon: 0.871
Episode 107 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.870
Episode 108 | Reward:   40.000 | Steps: 18 | Success: True | Epsilon: 0.869
Episode 109 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.868
Episode 110 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.866
Episode 111 | Reward:   -2.000 | Steps: 24 | Success: True | Epsilon: 0.865
Episode 112 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.864
Episode 113 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.863
Episode 114 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.861
Episode 115 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.860
Episode 116 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.859
Episode 117 | Reward:   14.000 | Steps:  5 | Success: True | Epsilon: 0.858
Episode 118 | Reward:  -70.000 | Steps: 40 | Success: False | Epsilon: 0.856
Episode 119 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.855
Episode 120 | Reward:   45.000 | Steps: 27 | Success: True | Epsilon: 0.854
Episode 121 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.853
Episode 122 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.852
Episode 123 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.850
Episode 124 | Reward:   28.000 | Steps: 21 | Success: True | Epsilon: 0.849
Episode 125 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.848
Episode 126 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.847
