Episode 075 | Reward:  -26.440 | Steps:  1 | Success: False | Epsilon: 0.890
Validation | episode=75 success=38.00% recent_reward=-83.725
Episode 076 | Reward:  -27.928 | Steps:  1 | Success: False | Epsilon: 0.889
Episode 077 | Reward:  -26.645 | Steps:  9 | Success: True | Epsilon: 0.888
Episode 078 | Reward:   -4.808 | Steps:  5 | Success: True | Epsilon: 0.887
Episode 079 | Reward:  -27.752 | Steps:  1 | Success: False | Epsilon: 0.886
Episode 080 | Reward:  -19.361 | Steps:  7 | Success: True | Epsilon: 0.884
Episode 081 | Reward:  -44.017 | Steps: 12 | Success: True | Epsilon: 0.883
Episode 082 | Reward:  -32.077 | Steps:  7 | Success: True | Epsilon: 0.882
Episode 083 | Reward:  -69.348 | Steps: 12 | Success: True | Epsilon: 0.881
Episode 084 | Reward:  -97.124 | Steps:  6 | Success: False | Epsilon: 0.880
Episode 085 | Reward:  -26.200 | Steps:  1 | Success: False | Epsilon: 0.879
Episode 086 | Reward: -111.150 | Steps:  7 | Success: False | Epsilon: 0.877
Episode 087 | Reward:  -26.486 | Steps:  1 | Success: False | Epsilon: 0.876
Episode 088 | Reward: -139.222 | Steps: 19 | Success: True | Epsilon: 0.875
Episode 089 | Reward:   -8.816 | Steps:  5 | Success: True | Epsilon: 0.874
Episode 090 | Reward: -128.946 | Steps:  8 | Success: False | Epsilon: 0.873
Episode 091 | Reward:  -94.701 | Steps: 33 | Success: True | Epsilon: 0.872
Episode 092 | Reward:   -8.115 | Steps:  5 | Success: True | Epsilon: 0.871
Episode 093 | Reward:  -59.359 | Steps: 25 | Success: True | Epsilon: 0.869
Episode 094 | Reward:  -27.773 | Steps:  1 | Success: False | Epsilon: 0.868
Episode 095 | Reward:  -26.599 | Steps:  1 | Success: False | Epsilon: 0.867
Episode 096 | Reward:  -93.642 | Steps:  6 | Success: False | Epsilon: 0.866
Episode 097 | Reward:  -25.407 | Steps:  7 | Success: True | Epsilon: 0.865
Episode 098 | Reward:  -32.815 | Steps:  1 | Success: False | Epsilon: 0.864
Episode 099 | Reward:   -0.170 | Steps:  4 | Success: True | Epsilon: 0.863
Episode 100 | Reward:  -49.994 | Steps: 11 | Success: True | Epsilon: 0.862
Validation | episode=100 success=26.00% recent_reward=-54.055
Episode 101 | Reward:  -26.519 | Steps:  1 | Success: False | Epsilon: 0.860
Episode 102 | Reward:  -21.191 | Steps:  7 | Success: True | Epsilon: 0.859
Episode 103 | Reward:  -30.359 | Steps:  1 | Success: False | Epsilon: 0.858
Episode 104 | Reward:  -27.923 | Steps:  1 | Success: False | Epsilon: 0.857
Episode 105 | Reward:  -24.115 | Steps:  1 | Success: False | Epsilon: 0.856
Episode 106 | Reward:  -27.162 | Steps:  1 | Success: False | Epsilon: 0.855
Episode 107 | Reward:  -44.928 | Steps: 11 | Success: True | Epsilon: 0.854
Episode 108 | Reward:  -33.263 | Steps:  1 | Success: False | Epsilon: 0.853
Episode 109 | Reward: -154.260 | Steps:  9 | Success: False | Epsilon: 0.852
Episode 110 | Reward:   -7.481 | Steps:  5 | Success: True | Epsilon: 0.850
Episode 111 | Reward:  -28.072 | Steps:  1 | Success: False | Epsilon: 0.849
Episode 112 | Reward:  -86.608 | Steps: 13 | Success: True | Epsilon: 0.848
Episode 113 | Reward:   -9.371 | Steps:  5 | Success: True | Epsilon: 0.847
Episode 114 | Reward: -223.345 | Steps: 23 | Success: True | Epsilon: 0.846
Episode 115 | Reward: -453.958 | Steps: 40 | Success: True | Epsilon: 0.845
Episode 116 | Reward:  -28.494 | Steps:  6 | Success: True | Epsilon: 0.844
Episode 117 | Reward: -112.023 | Steps: 21 | Success: True | Epsilon: 0.843
Episode 118 | Reward:  -76.703 | Steps:  5 | Success: False | Epsilon: 0.842
Episode 119 | Reward:  -39.731 | Steps:  9 | Success: True | Epsilon: 0.841
Episode 120 | Reward: -177.276 | Steps: 21 | Success: True | Epsilon: 0.840
Episode 121 | Reward: -106.477 | Steps: 14 | Success: True | Epsilon: 0.838
Episode 122 | Reward:  -26.531 | Steps:  1 | Success: False | Epsilon: 0.837
