/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 073 | Reward:   24.000 | Steps: 13 | Success: True | Epsilon: 0.902
Episode 074 | Reward:    8.000 | Steps: 27 | Success: True | Epsilon: 0.901
Episode 075 | Reward:   30.000 | Steps: 14 | Success: True | Epsilon: 0.899
Episode 076 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.898
Episode 077 | Reward:    0.000 | Steps: 34 | Success: True | Epsilon: 0.897
Episode 078 | Reward:   14.000 | Steps: 25 | Success: True | Epsilon: 0.895
New best model saved. Avg(last 20)=11.200
Episode 079 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.894
Episode 080 | Reward:  -10.000 | Steps: 24 | Success: True | Epsilon: 0.893
Episode 081 | Reward:   -3.000 | Steps: 21 | Success: True | Epsilon: 0.891
Episode 082 | Reward:   14.000 | Steps: 23 | Success: True | Epsilon: 0.890
Episode 083 | Reward:   20.000 | Steps:  8 | Success: True | Epsilon: 0.889
Episode 084 | Reward:   28.000 | Steps: 27 | Success: True | Epsilon: 0.887
Episode 085 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.886
Episode 086 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.884
Episode 087 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.883
Episode 088 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.882
Episode 089 | Reward:   -5.000 | Steps: 35 | Success: True | Epsilon: 0.880
Episode 090 | Reward:   37.000 | Steps: 17 | Success: True | Epsilon: 0.879
Episode 091 | Reward:    5.000 | Steps: 25 | Success: True | Epsilon: 0.878
Episode 092 | Reward:   30.000 | Steps: 13 | Success: True | Epsilon: 0.876
Episode 093 | Reward:   20.000 | Steps: 26 | Success: True | Epsilon: 0.875
Episode 094 | Reward:   26.000 | Steps: 12 | Success: True | Epsilon: 0.874
New best model saved. Avg(last 20)=11.800
Episode 095 | Reward:   16.000 | Steps:  6 | Success: True | Epsilon: 0.872
Episode 096 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.871
Episode 097 | Reward:  -72.000 | Steps: 40 | Success: True | Epsilon: 0.870
Episode 098 | Reward:    9.000 | Steps:  3 | Success: True | Epsilon: 0.868
Episode 099 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.867
Episode 100 | Reward:   22.000 | Steps: 15 | Success: True | Epsilon: 0.865
Episode 101 | Reward:   42.000 | Steps: 19 | Success: True | Epsilon: 0.864
Episode 102 | Reward:   36.000 | Steps: 16 | Success: True | Epsilon: 0.863
Episode 103 | Reward:   17.000 | Steps:  7 | Success: True | Epsilon: 0.861
Episode 104 | Reward:   10.000 | Steps: 15 | Success: True | Epsilon: 0.860
Episode 105 | Reward:  -28.000 | Steps: 32 | Success: True | Epsilon: 0.859
Episode 106 | Reward:   14.000 | Steps: 23 | Success: True | Epsilon: 0.857
Episode 107 | Reward:   21.000 | Steps:  9 | Success: True | Epsilon: 0.856
Episode 108 | Reward:   10.000 | Steps: 16 | Success: True | Epsilon: 0.855
Episode 109 | Reward:    4.000 | Steps: 24 | Success: True | Epsilon: 0.853
Episode 110 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.852
Episode 111 | Reward:    3.000 | Steps: 24 | Success: True | Epsilon: 0.851
Episode 112 | Reward:  -35.000 | Steps:  6 | Success: False | Epsilon: 0.849
Episode 113 | Reward:   20.000 | Steps:  5 | Success: True | Epsilon: 0.848
Episode 114 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.846
Episode 115 | Reward:   18.000 | Steps:  4 | Success: True | Epsilon: 0.845
Episode 116 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.844
Episode 117 | Reward:  -34.000 | Steps:  6 | Success: False | Epsilon: 0.842
Episode 118 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.841
Episode 119 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.840
Episode 120 | Reward:   18.000 | Steps: 26 | Success: True | Epsilon: 0.838
Episode 121 | Reward:   30.000 | Steps: 22 | Success: True | Epsilon: 0.837
Episode 122 | Reward:   25.000 | Steps: 20 | Success: True | Epsilon: 0.836
Episode 123 | Reward:  -27.000 | Steps: 40 | Success: False | Epsilon: 0.834
Episode 124 | Reward:    2.000 | Steps: 23 | Success: True | Epsilon: 0.833
Episode 125 | Reward:    8.000 | Steps: 14 | Success: True | Epsilon: 0.831
Episode 126 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.830
Episode 127 | Reward:    4.000 | Steps: 19 | Success: True | Epsilon: 0.829
Episode 128 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.827
Episode 129 | Reward:   24.000 | Steps: 25 | Success: True | Epsilon: 0.826
Episode 130 | Reward:   24.000 | Steps: 10 | Success: True | Epsilon: 0.825
Episode 131 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.823
Episode 132 | Reward:   16.000 | Steps: 15 | Success: True | Epsilon: 0.822
Episode 133 | Reward:  -38.000 | Steps:  6 | Success: False | Epsilon: 0.821
Episode 134 | Reward:  -45.000 | Steps:  8 | Success: False | Epsilon: 0.819
Episode 135 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.818
Episode 136 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.817
Episode 137 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.815
Episode 138 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.814
Episode 139 | Reward:   40.000 | Steps: 21 | Success: True | Epsilon: 0.812
Episode 140 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.811
Episode 141 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.810
Episode 142 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.808
Episode 143 | Reward:    4.000 | Steps: 27 | Success: True | Epsilon: 0.807
Episode 144 | Reward:    5.000 | Steps: 16 | Success: True | Epsilon: 0.806
Episode 145 | Reward:  -12.000 | Steps: 24 | Success: True | Epsilon: 0.804
Episode 146 | Reward:  -38.000 | Steps:  6 | Success: False | Epsilon: 0.803
Episode 147 | Reward:   -9.000 | Steps:  1 | Success: False | Epsilon: 0.802
Episode 148 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.800
Episode 149 | Reward:    3.000 | Steps: 19 | Success: True | Epsilon: 0.799
Episode 150 | Reward:   15.000 | Steps:  9 | Success: True | Epsilon: 0.797
Episode 151 | Reward:   -4.000 | Steps: 17 | Success: True | Epsilon: 0.796
Episode 152 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.795
Episode 153 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.793
Episode 154 | Reward:   26.000 | Steps: 14 | Success: True | Epsilon: 0.792
Episode 155 | Reward:    4.000 | Steps: 22 | Success: True | Epsilon: 0.791
Episode 156 | Reward:  -44.000 | Steps:  7 | Success: False | Epsilon: 0.789
Episode 157 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.788
Episode 158 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.787
Episode 159 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.785
Episode 160 | Reward:   12.000 | Steps: 16 | Success: True | Epsilon: 0.784
Episode 161 | Reward:   -6.000 | Steps: 25 | Success: True | Epsilon: 0.783
Episode 162 | Reward:    6.000 | Steps: 38 | Success: True | Epsilon: 0.781
Episode 163 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.780
Episode 164 | Reward:  -13.000 | Steps: 37 | Success: True | Epsilon: 0.778
Episode 165 | Reward:   -2.000 | Steps: 16 | Success: True | Epsilon: 0.777
Episode 166 | Reward:   35.000 | Steps: 16 | Success: True | Epsilon: 0.776
Episode 167 | Reward:  -15.000 | Steps:  1 | Success: False | Epsilon: 0.774
Episode 168 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.773
Episode 169 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.772
Episode 170 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.770
Episode 171 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.769
Episode 172 | Reward:   26.000 | Steps: 23 | Success: True | Epsilon: 0.768
Episode 173 | Reward:   11.000 | Steps:  4 | Success: True | Epsilon: 0.766
Episode 174 | Reward:  -54.000 | Steps: 28 | Success: True | Epsilon: 0.765
Episode 175 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.764
Episode 176 | Reward:   18.000 | Steps:  9 | Success: True | Epsilon: 0.762
Episode 177 | Reward:  -69.000 | Steps: 32 | Success: True | Epsilon: 0.761
Episode 178 | Reward:   25.000 | Steps: 12 | Success: True | Epsilon: 0.759
Episode 179 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.758
Episode 180 | Reward:  -20.000 | Steps:  5 | Success: False | Epsilon: 0.757
Episode 181 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.755
Episode 182 | Reward:   16.000 | Steps:  3 | Success: True | Epsilon: 0.754
Episode 183 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.753
Episode 184 | Reward:    2.000 | Steps: 21 | Success: True | Epsilon: 0.751
Episode 185 | Reward:   -8.000 | Steps: 28 | Success: True | Epsilon: 0.750
Episode 186 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.749
Episode 187 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.747
Episode 188 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.746
Episode 189 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.744
Episode 190 | Reward:    7.000 | Steps: 26 | Success: True | Epsilon: 0.743
Episode 191 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.742
Episode 192 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.740
Episode 193 | Reward:   22.000 | Steps:  6 | Success: True | Epsilon: 0.739
Episode 194 | Reward:    4.000 | Steps: 26 | Success: True | Epsilon: 0.738
Episode 195 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.736
Episode 196 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.735
Episode 197 | Reward:   22.000 | Steps: 10 | Success: True | Epsilon: 0.734
Episode 198 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.732
Episode 199 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.731
Episode 200 | Reward:    1.000 | Steps: 10 | Success: True | Epsilon: 0.730
Episode 201 | Reward:   18.000 | Steps: 23 | Success: True | Epsilon: 0.728
Episode 202 | Reward:   18.000 | Steps: 19 | Success: True | Epsilon: 0.727
Episode 203 | Reward:  -38.000 | Steps:  7 | Success: False | Epsilon: 0.725
Episode 204 | Reward:  -14.000 | Steps:  1 | Success: False | Epsilon: 0.724
Episode 205 | Reward:   24.000 | Steps: 16 | Success: True | Epsilon: 0.723
Episode 206 | Reward:    2.000 | Steps: 21 | Success: True | Epsilon: 0.721
Episode 207 | Reward:   20.000 | Steps: 14 | Success: True | Epsilon: 0.720
Episode 208 | Reward:    0.000 | Steps: 25 | Success: True | Epsilon: 0.719
Episode 209 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.717
Episode 210 | Reward:  -34.000 | Steps:  5 | Success: False | Epsilon: 0.716
Episode 211 | Reward:  -30.000 | Steps:  5 | Success: False | Epsilon: 0.715
Episode 212 | Reward: -116.000 | Steps: 40 | Success: False | Epsilon: 0.713
